quote,author,category
Cause channeled in the wrong direction is indistinguishable from handcap,Dr Lloyd Magangeni,success-quotes
Some say sky is the limit but I say your assignment is the limit,Dr Lloyd Magangeni,success-quotes
Success is the progressive discovery of your assignment,Dr Lloyd Magangeni,success-quotes
"Believe in yourself, you can do great things!","Lailah Gifty Akita, Think Great: Be Great!",achievement qoutes
The quest for learning is the quest for self-discovery.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",achivement qoutes
Life gives us many test. We must graciously take each test!,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",advice qoutes
On the journey to self discovery be grateful for the fools along the way. Their lack of kindness fueled your success ~bns,Bluenscottish,self discovery qoutes
"It's success, which makes you beautiful.","Ameya Agrawal, A Leap Within",success qoutes
"The greatest challenge in life is discovering who you are, The second greatest is being happy with what you find.",Auliq Ice,challenge qoutes
Complaining solves nothing but creative problem solving amongst people with a common focus will produce solutions.,Auliq Ice,problem solving qoutes
"Stop rejecting that unique pathway that was designed exclusively for you. Embrace your destiny, respect yourself and love others.",Auliq Ice,rejection qoutes
You can only give yourself a chance to find right things when you stop chasing wrong things.,Auliq Ice,ambitional qoutes
"You have immense power--power to overcome, power to achieve, power to possess, and power to prosper, making you incredibly irresistible.","Anitra Shelton-Quinn, Becoming Incredibly Irresistible: A Guide to Living the Abundant Life",inspirirational qaoutes 
"Success is like a seed, it waits for the right conditions that will allow it to grow.",Auliq Ice,success qoutes
Success is like a rainbow,Matshona Dhliwayo,success qoutes
Hard work is a prophet, it foretells success. Diligence is a prophet,hard work qoutes
"Desire to seek, desire to learn.","Lailah Gifty Akita, Think Great: Be Great!",seeking qoutes
The quality of a man is to be judged not by what he drives but by what drives him,"Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock",ambitional qoutes
"Every success and every bit of progress, is a building block for your next step.",Auliq Ice,success qoutes
"If you have the dedication, means and patience to treat your daily struggle, like a step towards success, something bigger will come your way.",Auliq Ice,dedication qoutes
"I Have Learned Why People Work So Hard To Succeed: It Is Because They Envy The Things Their Neighbors Have. But It Is Useless. It Is Like Chasing The Wind....It Is Better To Have Only A Little, With Peace Of Mind, Than Be Busy All The Time With Both Hands, Trying To Catch The Wind",Anonymous,success qoutes
"When you fail, get hurt, feel bad, but act on it! Everybody fails, but the ones who act are the ones who change the world!",Vishwas Mudagal,failures that lead to success qoutes
To succeed means you to sail across some difficult courses.,Auliq Ice,success qoutes
Becoming successful is a rough journey that carries pain and requires perseverance.,Auliq Ice,success qoutes
"Faith is not mere belief but is that state you attain when you send your will, words, thoughts, beliefs, and actions into orbit around a chosen goal","Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock",faith
